Plot,block,depth,treat,spnum,invbiomass,totbiomass,totnatbiomass,Date harvested,invprod,totprod,totnatprod,invNUE,natNUE,totNUE,coverdate,native richness,invasive richness,Total richness,raw native cover,raw invasive cover,raw Nfixer cover,scaled native cover,scaled invasive cover,total scaled cover,scaled Nfixer cover,Shannon,ENS
2,1,Shallow,Order,2,16.92,19.8733,2.9533,4/20/17,280.1324503,329.0281457,48.89569536,84.03361345,70.42253521,81.68736846,4/12/17,7,1,8,15,60,2,17.64705882,70.58823529,88.23529411,2.352941176,0.862039447,2.367985152
3,1,Shallow,Order,5,18.05,20.2661,2.2161,4/20/17,239.0728477,268.4251656,29.35231788,80,39.5256917,71.94409589,4/12/17,5,1,6,10,70,0,11.11111111,77.77777778,88.88888889,0,0.640874761,1.898140573
4,1,Shallow,Order,8,11.46,11.6576,0.1976,4/20/17,303.5761589,308.810596,5.234437086,61.72839506,116.2790698,62.2231939,4/12/17,1,3,4,3,42,0,6,84,90,0,0.726975372,2.068813744
5,1,Shallow,Order,12,13.75,13.9108,0.1608,4/20/17,303.5320088,307.0816777,3.549668874,72.99270073,33.67003367,72.02042591,4/12/17,3,2,5,6,32,1,12.5,66.66666667,79.16666667,2.083333333,0.6689212,1.952130227
6,1,Shallow,Random,16,31.49,31.49,0,4/20/17,521.3576159,521.3576159,0,46.2962963,,46.2962963,4/12/17,0,1,1,0,60,0,0,85.71428571,85.71428571,0,0.306495374,1.358655183
7,1,Shallow,Random,2,21.88,26.61,4.73,4/20/17,305.0540258,371.0003486,65.94632276,102.0408163,36.900369,77.66916613,4/12/17,7,1,8,21,60,1,23.33333333,66.66666667,90,1.111111111,0.948987765,2.583093637
8,1,Shallow,Random,5,22.13,22.453,0.323,4/20/17,390.816777,396.5209713,5.70419426,88.49557522,45.04504505,87.2843839,4/12/17,7,2,9,8,62,1,10,77.5,87.5,1.25,0.799247466,2.223866763
9,1,Shallow,Random,8,18.67,19.1025,0.4325,4/20/17,260.299756,266.3297316,6.029975601,78.74015748,72.99270073,78.60003271,4/12/17,4,3,7,9,51,5,12.85714286,72.85714286,85.71428572,7.142857143,1.065254056,2.901576053
10,1,Shallow,Random,12,17.34,17.34,0,4/20/17,287.0860927,287.0860927,0,68.49315068,NA,68.49315068,4/12/17,6,2,8,17,39,0,25.75757576,59.09090909,84.84848485,0,0.938628167,2.556471959
17,2,Medium,Order,2,12.4,12.4,0,4/20/17,189.0243902,189.0243902,0,69.93006993,,69.93006993,4/12/17,1,1,2,1,74,0,1.052631579,77.89473684,78.94736842,0,0.268869471,1.308484334
18,2,Medium,Order,5,15.57,16.5281,0.9581,4/20/17,223.3859397,237.1319943,13.74605452,81.30081301,29.23976608,73.69469376,4/12/17,3,2,5,11,59,10,13.75,73.75,87.5,12.5,1.034739842,2.814373959
19,2,Medium,Order,8,21.92,22.2805,0.3605,4/20/17,267.3170732,271.7134146,4.396341463,,,80,4/12/17,2,2,4,4,66,3,4.705882353,77.64705882,82.35294117,3.529411765,0.626548456,1.871141095
20,2,Medium,Order,12,15.93,16.1026,0.1726,4/20/17,259.0243902,261.8308943,2.806504065,74.62686567,38.91050584,73.89977559,4/12/17,2,1,3,6,64,5,8,85.33333333,93.33333333,6.666666667,0.481462061,1.61843893
21,2,Medium,Random,16,17.69,18.2468,0.5568,4/20/17,215.7317073,222.5219512,6.790243902,88.49557522,31.34796238,83.83208003,4/12/17,5,2,7,6,64,0,7.5,80,87.5,0,0.599581309,1.821356055
22,2,Medium,Random,2,NA,NA,NA,4/20/17,NA,NA,NA,NA,NA,NA,4/12/17,1,1,2,1,25,0,2.222222222,55.55555556,57.77777778,0,0.392625292,1.480863394
23,2,Medium,Random,5,18.47,24.69,6.22,4/20/17,225.2439024,301.097561,75.85365854,62.11180124,54.05405405,59.86368827,4/13/17,0,2,2,0,40,0,0,44.44444444,44.44444444,0,0.591450351,1.806606729
24,2,Medium,Random,8,19.44,19.75,0.31,4/20/17,263.4146341,267.6151762,4.200542005,77.51937984,75.18796992,77.48166921,4/12/17,1,2,3,5,60,5,6.25,75,81.25,6.25,0.838190489,2.312179275
25,2,Medium,Random,12,13.07,17.3,4.23,4/20/17,173.2502651,229.321315,56.07104984,98.03921569,30.21148036,63.2941495,4/12/17,8,1,9,41,44,3,43.15789474,46.31578947,89.47368421,3.157894737,1.310427136,3.707757089
32,3,Shallow,Order,2,21.76,23.28,1.52,4/20/17,288.2119205,308.3443709,20.13245033,80.64516129,26.80965147,71.29731716,4/12/17,6,1,7,30,60,7,30,60,90,7,1.065153294,2.901283699
33,3,Shallow,Order,5,22.79,24.4802,1.6902,4/20/17,317.7413733,341.3063785,23.56500523,81.30081301,33.89830508,74.14245472,4/12/17,6,2,8,16,64,2,17.77777778,71.11111111,88.88888889,2.222222222,0.829839818,2.292951422
34,3,Shallow,Order,8,23.62,25.9246,2.3046,4/20/17,329.3133496,361.4444057,32.13105612,96.15384615,32.78688525,82.05589509,4/12/17,7,1,8,19,65,3,21.11111111,72.22222222,93.33333333,3.333333333,0.883143891,2.418491239
35,3,Shallow,Order,12,18.15,19.6075,1.4575,4/20/17,253.0498432,273.3705124,20.32066922,68.96551724,35.0877193,64.34727675,4/12/17,3,2,5,14,55,0,14.89361702,58.5106383,73.40425532,0,1.03782372,2.823066541
36,3,Shallow,Order,16,33.99,34.4906,0.5006,4/20/17,473.8933426,480.872778,6.979435343,90.09009009,36.10108303,88.17615863,4/12/17,2,2,4,4,76,0,4.705882353,89.41176471,94.11764706,0,0.418294176,1.519367571
37,3,Shallow,Random,2,18.46,20.4738,2.0138,4/20/17,326.004415,361.5682119,35.56379691,70.42253521,34.84320557,63.99501188,4/12/17,3,3,6,27,43,1,30,47.77777778,77.77777778,1.111111111,0.929485449,2.533205378
38,3,Shallow,Random,5,18.83,18.9054,0.0754,4/20/17,277.1155261,278.2251656,1.109639441,72.46376812,37.87878788,72.20085076,4/12/17,2,1,3,15,65,0,15.78947368,68.42105263,84.21052631,0,0.660054018,1.934896852
39,3,Shallow,Random,8,13.67,14.9743,1.3043,4/20/17,230.7172996,252.7308017,22.01350211,53.19148936,33.55704698,50.61208161,4/12/17,2,1,3,11,29,0,22,58,80,0,0.635293774,1.887576582
40,3,Shallow,Random,12,26.63,30.2096,3.5796,4/20/17,359.9135018,408.2930126,48.37951074,87.71929825,35.21126761,74.54694304,4/12/17,7,1,8,43,50,17,43.87755102,51.02040816,94.89795918,17.34693878,1.364416046,3.913437116
47,4,Deep,Order,2,52.44,52.4605,0.0205,4/21/17,913.5888502,913.945993,0.357142857,68.02721088,37.87878788,68.00605956,4/21/17,2,1,3,2,58,0,3.076923077,89.23076923,92.30769231,0,0.408045165,1.503875083
48,4,Deep,Order,5,22.05,25.56,3.51,4/21/17,358.5365854,415.6097561,57.07317073,81.96721311,31.34796238,67.09031206,4/21/17,7,1,8,20,40,3,28.57142857,57.14285714,85.71428571,4.285714286,1.007764742,2.739470743
49,4,Deep,Order,8,21.2,30.0875,8.8875,4/21/17,323.1707317,458.6509146,135.4801829,80,59.52380952,72.62074292,4/21/17,6,1,7,22,43,1,29.33333333,57.33333333,86.66666666,1.333333333,0.936878672,2.552003335
50,4,Deep,Order,12,24.35,24.7029,0.3529,4/21/17,431.7375887,437.9946809,6.257092199,70.42253521,30.21148036,69.10849513,4/21/17,2,1,3,5,45,3,8.333333333,75,83.33333333,5,0.54276566,1.720759323
51,4,Deep,Order,16,23.13,23.9324,0.8024,4/21/17,282.0731707,291.8585366,9.785365854,74.62686567,29.06976744,70.90145372,4/21/17,2,1,3,3,82,1,3.333333333,91.11111111,94.44444444,1.111111111,0.287021932,1.332453436
